Row.names,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,19,20,21,22,23,24,25,T05_3_044,T04_1_070,27,29,30,33,34,35,36,37,38,39,41,42,43,44,45,46,47,T01_1_016,T03_1_048,T03_2_045,T03_3_085,T04_2_044,T04_3_028,T05_1_034,T08_1_161,T08_2_164,T08_3_020,T09_3_077,T10_1_291,T10_2_117,T11_1_015,T11_3_146
ENSG00000249784,0,11,8,0,0,0,8,0,73,0,2,0,0,5,1,3,4,0,2,1,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,1,0,1,1,0,1,2,0,0,0
ENSG00000249816,11,0,7,10,0,0,13,0,0,22,36,0,1,0,4,9,0,33,1,7,0,12,4,2,4,159,0,56,75,71,6,0,4,0,0,10,5,4,26,25,28,81,12,22,60.66,26,58,58,4,93,2,76,2,11,2,10,17
ENSG00000250493,7,0,0,0,1,0,0,0,0,9,6,7,0,0,0,0,0,0,4,0,2,4,5,0,0,66,3,36,45,33,1,0,2,0,4,0,0,1,0,0,1,12,0,5,25,3,22,3,0,22,3,14,1,22,3,6,0
ENSG00000251244,0,0,0,0,0,0,0,0,0,12,3,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,2,39,0,0,9,0,4,0,40,26,1,2,0,0,0,0,16,3,17,0,0,111,2,0,0,3,10,4,2,48,24
ENSG00000252947,10,20,51,10,1,0,5,42,46,0,36,10,53,7,4,36,11,3,24,13,8,10,10,4,8,2,1,1,5,0,1,0,7,0,8,17,10,0,3,2,20,0,12,3,0,2,10,6,6,5,1,0,6,1,0,0,0
ENSG00000255750,18.88,0,17.03,6.44,4.04,35,0,0,23.41,19.31,2.42,15.2,1.27,1.71,4.79,0,3.56,2.68,6.28,0,0,10,11.8,3.41,24.45,43.62,10.03,34.53,61.13,139.42,59.07,0,10,2,130.51,1,16.98,54.14,0,16.32,3,20.31,0,11.07,9.98,19.08,6.14,40.43,27.65,63.49,47.66,33.71,11.23,6,43.45,0.46,246.1
ENSG00000256108,1,0,12,1,0,0,0,0,0,2,4,0,0,0,7,3,2,2,8,5,6,0,1,1,2,9,6,4,1,0,7,0,1,0,3,0,5,7,6,7,5,5,4,8,5,27,4,24,17,5,12,16,8,9,3,11,3
ENSG00000256234,6,0,0,0,7,0,0,0,0,0,0,5,0,0,2,0,0,0,2,0,1,0,5,2,12,22,0,23,7,37,17,0,1,0,11,0,0,0,0,0,1,5,0,21,3,19,1,6,3,14,22,23,6,5,8,4,105
ENSG00000259100,7,0,1,12,0,0,7,0,0,20,42,7,29,0,11,3.25,0,33,14,0,10,4,15,14.65,3,20,13,14,44,87,10,0,8,19,29,6,102,35,16,20.46,17.54,19,13.07,18,26,33,23.84,27,0,42.9,33,30,10.33,44.46,14,26,24.82
ENSG00000259277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,4,0,0,4,0,0,0,0,0,0,6,0,3,2,7,4,5,3,5,3,5,4,0,1,0,4
